PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40677963,Attitudes Towards the HPV Vaccine Among Oropharyngeal Cancer Patients in a Post-COVID World.,2025Aug,,,
40677535,Liver injury in post-acute COVID-19 syndrome: A systematic review and meta-analysis of early observational studies.,2024Dec,,,
40677267,Long-term COVID-19 symptoms and post-vaccination reactions among prolonged COVID-19 patients in the Kurdistan region of Iraq.,2025Aug,,,
40677193,[Global progress and trend in research of target trial emulation: a bibliometric and visualization analysis].,2025Jul10,,,
40675414,From Classroom to City Hall: Student Pharmacists Advocate for Public Health at City Council Meetings.,2025Jul15,"Nguyen Tiffany, Yang Suhui, Islam Mohammed A","School of Pharmacy, American University of Health Sciences, Signal Hill, CA 90755, USA. Electronic address: tdnguyen@auhs.edu.; School of Pharmacy, American University of Health Sciences, Signal Hill, CA. Electronic address: syang@auhs.edu.; School of Pharmacy, American University of Health Sciences, Signal Hill, CA. Electronic address: mislam@auhs.edu.",tdnguyen@auhs.edu.
40675169,"Extended nirmatrelvir-ritonavir treatment durations for immunocompromised patients with COVID-19 (EPIC-IC): a placebo-controlled, randomised, double-blind, phase 2 trial.",2025Jul14,"Gardner Annie, Camacho-Ortiz Adrian, Wisemandle Wayne, Hammond Jennifer, Rusnak James, Weinstein Edward, Antonucci Simone, Guan Shunjie, Tudone Elena, Terra Steven G, Baniecki Mary Lynn, Almas Mary","Antivirals, Global Product Development, Pfizer, New York, NY, USA. Electronic address: edward.weinstein@pfizer.com.; Pfizer, Lake Forest, IL, USA.; Pfizer, Tampa, FL, USA.; Antivirals, Global Product Development, Pfizer, New York, NY, USA.; Pfizer, Milan, Italy.; Pfizer, Collegeville, PA, USA.; Hospital Universitario Dr José Eleuterio González, Monterrey, Mexico.; Pfizer, Cambridge, MA, USA.",edward.weinstein@pfizer.com.
40675167,"Efficacy and safety of obeldesivir in low-risk, non-hospitalised patients with COVID-19 (OAKTREE): a phase 3, randomised, double-blind, placebo-controlled study.",2025Jul14,"Acloque Gerard, Ogbuagu Onyema, Shinkai Masaharu","Universal Medical and Research Center, LLC, Coral Gables, FL, USA.; Yale School of Medicine, New Haven, CT, USA. Electronic address: onyema.ogbuagu@yale.edu.; Tokyo Shinagawa Hospital, Tokyo, Japan.",onyema.ogbuagu@yale.edu.
40675111,Purification and functional characterization of gag-spike virus-like particles: Process optimization for efficient vaccine production.,2025Jul16,"Nassoury Nasha, Gilbert Rénald, Morasse Audrey, Tiwari Krishnaraj, Chahal Parminder Singh, Gashti Anahita Bakhshizadeh, Patel Mehul","Bioprocess Engineering Department, Human Health Therapeutics Research Centre, National Research Council Canada, Montréal, QC, Canada. Electronic address: Anahita.Bakhshizadeh@cnrc-nrc.gc.ca.; Bioprocess Engineering Department, Human Health Therapeutics Research Centre, National Research Council Canada, Montréal, QC, Canada.",Anahita.Bakhshizadeh@cnrc-nrc.gc.ca.
40675109,Influenza vaccine effectiveness against absenteeism among healthcare personnel during the 2022-2023 season in Greece.,2025Jul16,"Koukou Dimitra-Maria, Lourida Athanasia","First Department of Pediatrics, University of Athens, Aghia Sophia Children's Hospital, Athens, Greece.; Infection Control Committee, Aghia Sofia Children's Hospital, Athens, Greece.",
40675005,Age differences in immunity to human seasonal coronaviruses and the immunogenicity of ChAdOx1 nCoV-19 (AZD1222).,2025Jul16,"Mugo Daisy, Gitonga John N, Hamaluba Mainga M, Warimwe George M, Karanja Henry K, Cheruiyot Stanley","KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya; Centre for Tropical Medicine and Global Health, University of Oxford, UK.; KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya.",
40674959,Drivers of COVID-19 in U.S. counties: A wave-level analysis.,2025Jul10,"García-Suaza Andrés, Otero Jesús","Facultad de Economía, Universidad del Rosario, Bogotá, Colombia. Electronic address: andres.garcia@urosario.edu.co.; Facultad de Economía, Universidad del Rosario, Bogotá, Colombia. Electronic address: jesus.otero@urosario.edu.co.",jesus.otero@urosario.edu.co.
40674918,Differential severity of SARS-CoV-2 variant infections in children and adults with COVID-19.,2025Jul07,,,
40674873,Exploring the critical risk factors in COVID-19 vaccination clinics aimed uncertainty: Insight from Pakistan.,2025Jul11,"Gong Shaoqing, Nawaz Rashed","School of Public Health and Health Nutrition, Luohe Medical College, No.148, Daxue Road, Yuanhui District, Luohe, Henan Province 46200, China. Electronic address: gongshaoqingmd@163.com.; School of Public Health and Health Nutrition, Luohe Medical College, No.148, Daxue Road, Yuanhui District, Luohe, Henan Province 46200, China. Electronic address: rashednawazpk@gmail.com.",gongshaoqingmd@163.com.
40674605,COVID-19 vaccine-induced systemic lupus erythematosus: The underlying immunological and genetic mechanisms.,2025Jul17,"Hu Fanlei, Li Zhanguo, Li Xue, Wang Ping, Jin Shanzhao, Zhu Huaqun","Department of Rheumatology and Immunology, Peking University People's Hospital & Beijing Key Laboratory for Rheumatism Mechanism and Immune Diagnosis (BZ0135), Beijing, China. State Key Laboratory of Natural and Biomimetic Drugs, School of Pharmaceutical Sciences, Peking University, Beijing, China. Peking-Tsinghua Center for Life Sciences, Peking University, Beijing, China.; Department of Rheumatology and Immunology, Peking University People's Hospital & Beijing Key Laboratory for Rheumatism Mechanism and Immune Diagnosis (BZ0135), Beijing, China. State Key Laboratory of Natural and Biomimetic Drugs, School of Pharmaceutical Sciences, Peking University, Beijing, China. Department of Integration of Chinese and Western Medicine, School of Basic Medical Sciences, Peking University, Beijing, China.; Department of Rheumatology and Immunology, Peking University People's Hospital & Beijing Key Laboratory for Rheumatism Mechanism and Immune Diagnosis (BZ0135), Beijing, China.",
40674457,Hesitancy Toward the First COVID-19 Vaccine Booster Dose: A Cross-Sectional Study in Morocco.,2025Jan-Dec,"Otmani Nada, Marsou Zakia, Berraho Mohamed, Benmaamar Soumaya, Tachfouti Nabil, Bahra Nassiba, Chellat Fatima Zahra, El Rhazi Karima, El Baldi Marwa","Sidi Mohamed Ben Abdallah University, Fez, Morocco.",
40674367,COVID-19 prevention is shaped by polysocial risk: A cross-sectional study of vaccination and testing disparities in underserved populations.,2025,,,
40674354,Targeting G-Quadruplex with Bis-thiourea Compounds Inhibits SARS-CoV-2 Replication.,2025Jul17,"Oyama Taiji, Endo Hiroyuki, Iwano Naoya, Watashi Koichi, Tsukakoshi Kaori, Nagasawa Kazuo, Ikebukuro Kazunori, Sasaki Shogo, Tera Masayuki, Nohara Rena, Takeuchi Norito","Department of Biotechnology and Life Science, Tokyo University of Agriculture and Technology, 2-24-16 Naka-cho, Koganei , Tokyo184-8588, Japan. Kanagawa Laboratory, Toray Research Center Inc., 6-10-1, Tebiro, Kamakura-city, Kanagawa 248-0036, Japan.; Department of Biotechnology and Life Science, Tokyo University of Agriculture and Technology, 2-24-16 Naka-cho, Koganei , Tokyo184-8588, Japan. JASCO Corporation, 2967-5, Ishikawa-machi, Hachioji , Tokyo192-8537, Japan.; Research Center for Drug and Vaccine Development, National Institute of Infectious Diseases, 1-23-1 Toyama, Shinjuku-ku, Tokyo162-8640, Japan. MIRAI, JST, Kawaguchi Center Building, 4-1-8 Honcho, Kawaguchi City, Saitama 332-0012, Japan.; Department of Biotechnology and Life Science, Tokyo University of Agriculture and Technology, 2-24-16 Naka-cho, Koganei , Tokyo184-8588, Japan.",
40674167,EFFECTS OF SARS-COV-2 SPIKE PROTEIN ON THE GROWTH AND PHENOTYPE OF MDA-MB-231 AND MCF-7 BREAST CANCER CELLS AND THEIR SENSITIVITY TO RADIATION-INDUCED APOPTOSIS.,2025Jul11,,,
40674086,Considerations for Using Clinical Practice Data to Study COVID-19 Vaccines in Patients With Cancer.,2025Jul17,,,
40674082,Risk Factors for COVID-19-Related Hospitalization and Death in Patients With Cancer: The National Cancer Institute COVID-19 in Cancer Patients Study (NCCAPS).,2025Jul17,"Rubinstein Larry V, Sankaran Hari, Bestvina Christine M, Bowman Mel D, Harris Lyndsay, Korde Larissa A, Mishkin Grace E, Denicoff Andrea M, Best Ana F","Hematology/Oncology, Department of Medicine, University of Chicago, Chicago, Illinois.; Biometric Research Program, Division of Cancer Treatment and Diagnosis, National Cancer Institute, Bethesda, Maryland.; The Emmes Company LLC, Rockville, Maryland.; Division of Cancer Treatment and Diagnosis, National Cancer Institute, Bethesda, Maryland.",
40674059,COVID-19 Vaccine Booster Uptake and Effectiveness Among US Adults With Cancer.,2025Jul17,,,
40673985,The Impact of COVID-19 Infection on Semen Analysis Values in Active Duty Service Members.,2025Jul17,"Beltran Thomas, Lentscher Jessica, Pier Bruce, Wadolowska Karolina","Division of Reproductive Endocrinology and Infertility, Department of Obstetrics and Gynecology, Womack Army Medical Center, Fort Bragg, NC 28310, United States.; Department of Clinical Investigation, Womack Army Medical Center, Fort Bragg, NC 28310, United States.",
40673918,Exploring the Intrinsic Structural Plasticity and Conformational Dynamics of Human Beta Coronavirus Spike Glycoproteins.,2025Jul17,,,
40673708,Immunogenicity of monovalent and multivalent subunit vaccines against SARS-CoV-2 variants in mice with divergent vaccination history.,2025Jul17,"Wang Rui, Xie Liangzhi, Zhou Shaozheng, Kong Desheng, Cui Yudi, Li Xuefeng, Sun Lili, Chen Meng, Lyu Yuan, Ma Juan, Lu Jianbo","Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, China.; Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, China. Beijing Key Laboratory of Monoclonal Antibody Research and Development, Sino Biological Inc., Beijing, China. Cell Culture Engineering Center, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.",
40673476,Shifting Patterns of Vaccine Delivery Before and After COVID-19: The Declining Role of Primary Care.,2025Jan-Dec,,,
40673053,Anti-SARS-CoV-2 Antibody Levels in a Cohort of Health Care Workers Before and After the Omicron Wave in Canada.,2025Jun,,,
40672943,The quantity and quality of B-cell immunity against SARS-CoV-2 in children with cancer and hematological diseases.,2025,,,
40672927,"COVID-19 vaccination pharmacovigilance in Khojaly district, Uzbekistan: an epidemiological evaluation.",2025,,,
40672922,Why do older adults hesitate to get the flu vaccine? A cross-sectional study on vaccine hesitancy in the post-COVID-19 era.,2025,,,
40672906,"Improving control of the Mpox outbreak: a national cross-sectional study on the knowledge, attitudes, and influencing factors among frontline healthcare professionals in Ethiopia.",2025,,,
40672905,Role of Frailty Index-Laboratory to predict COVID-19 mortality: a prospective study.,2025,,,
40672711,A National Discussion of COVID-19 on Twitter.,2024Dec,,,
40672484,"Impact of Preexisting Rare Diseases on COVID-19 Severity, Reinfection, and Long COVID, and the Modifying Effects of Vaccination and Antiviral Therapy: A Retrospective Study from the N3C Data Enclave.",2025Jul10,,,
40671971,Safety of COVID-19 Vaccines Among Pregnant Women in India: A Systematic Review and Meta-Analysis.,2025Jun,"Kaviprawin Mogan, Gandhi Aravind P, Kapoor Anuva, Yadav Priyanka, Ramasamy Nishaant, Choudhary Abhijit, Yadav Anita","Department of Community Medicine, South Asia Field Epidemiology and Technology Network, Inc., Chennai, IND.; Department of Community Medicine, All India Institute of Medical Sciences, Nagpur, Nagpur, IND.; Department of Pediatrics, All India Institute of Medical Sciences, Nagpur, Nagpur, IND.; Department of Obstetrics and Gynecology, All India Institute of Medical Sciences, Nagpur, Nagpur, IND.",
40671795,Adverse Birth Outcomes Associated with SARS-CoV-2 Infection Among Pregnant Women with and without HIV: A Longitudinal Cohort Study.,2025Jul08,,,
40671761,Impact of the COVID-19 Pandemic on Pediatric Pneumonia Outcomes: A Five-Year Retrospective Cohort Study.,2025,"Doležalová Karolína, Leová Lan Ngoc, Heinige Pavel, Tašková Alice, Kripnerová Kateřina, Prchlík Martin, Slováková Lea, Vočková Jitka","Department of Radiology, Thomayer University Hospital, Prague, Czech Republic.; Clinic of Paediatrics of the First Faculty of Medicine, Charles University, Thomayer University Hospital, Prague, Czech Republic.; Department of Pediatric Intensive Care, Thomayer University Hospital, Prague, Czech Republic.; Clinic of Thoracic Surgery 3rd Faculty of Medicine, Charles University and Thomayer University Hospital, Prague, Czech Republic.; Department of Clinical Microbiology, Thomayer University Hospital, Prague, Czech Republic.",
40671564,Increased platelet-neutrophil aggregate ratio after severe acute respiratory syndrome coronavirus 2 vaccination and severe infection.,2025Jul-Sep,,,
40671410,"Correspondence on ""Evaluating University and Surrounding Area Factors Causing Variability in COVID-19 Vaccine Rates Among United States Universities"".",2025Jul17,,,
40671368,Research evidence for health education in patient safety and research-informed health policy decision-making.,2025Jul16,,,
40671271,Older people's health literacy on COVID-related health behaviours during the pandemic - Results from the SWEOLD 2021 study in Sweden.,2025Jul16,"Lennartsson Carin, Wångdahl Josefin, Agerholm Janne, Kayser Leeoza Naima","Aging Research Centre, Karolinska Institutet and Stockholm University, Stockholm, Sweden.; Aging Research Centre, Karolinska Institutet and Stockholm University, Stockholm, Sweden. Division of Nursing, Department of Neurobiology, Care Sciences, and Society, Karolinska Institutet, Stockholm, Sweden. Department of Public Health and Caring Sciences, Uppsala University, Uppsala, Sweden.; Aging Research Centre, Karolinska Institutet and Stockholm University, Stockholm, Sweden. Department of Oncology-Pathology, Karolinska Institutet, Stockholm, Sweden.",
